Familia profesional,Código QP,Cualificación Profesional,Nivel,Código Certificado,Certificado Profesional,Código y certificado
Instalación y Mantenimiento,IMA378_3,"Planificación, gestión y realización del mantenimiento y supervisión del montaje de redes y sistemas de distribución de fluidos ",3,IMAI0208,"Planificación, gestión y realización del mantenimiento y supervisión del montaje de redes y sistemas de distribución de fluidos","IMAI0208 Planificación, gestión y realización del mantenimiento y supervisión del montaje de redes y sistemas de distribución de fluidos"
Instalación y Mantenimiento,IMA568_2,Instalación y mantenimiento de ascensores y otros equipos fijos de elevación y transporte ,2,IMAQ0110,Instalación y mantenimiento de ascensores y otros equipos fijos de elevación y transporte,IMAQ0110 Instalación y mantenimiento de ascensores y otros equipos fijos de elevación y transporte
"Madera, Mueble y Corcho",MAM058_2,Mecanizado de madera y derivados con equipos manuales y automatizados,2,MAMR0308,Mecanizado de madera y derivados,MAMR0308 Mecanizado de madera y derivados
"Madera, Mueble y Corcho",MAM059_2,Instalación de muebles,2,MAMR0408,Instalación de muebles,MAMR0408 Instalación de muebles
"Madera, Mueble y Corcho",MAM060_2,Acabado de carpintería y mueble,2,MAMR0208,Acabado de carpintería y mueble,MAMR0208 Acabado de carpintería y mueble
"Madera, Mueble y Corcho",MAM062_2,Montaje de muebles y elementos de carpintería,2,MAMR0108,Montaje de muebles y elementos de carpintería,MAMR0108 Montaje de muebles y elementos de carpintería
"Madera, Mueble y Corcho",MAM063_3,Proyectos de carpintería y mueble,3,MAMD0309,Proyectos de carpintería y mueble,MAMD0309 Proyectos de carpintería y mueble
"Madera, Mueble y Corcho",MAM275_1,Aplicación de barnices y lacas en elementos de carpintería y mueble ,1,MAMD0109,Aplicación de barnices y lacas en elementos de carpintería y mueble,MAMD0109 Aplicación de barnices y lacas en elementos de carpintería y mueble
"Madera, Mueble y Corcho",MAM276_1,Trabajos de carpintería y mueble,1,MAMD0209,Trabajos de carpintería y mueble,MAMD0209 Trabajos de carpintería y mueble
"Madera, Mueble y Corcho",MAM277_2,Instalación de elementos de carpintería,2,MAMS0108,Instalación de elementos de carpintería,MAMS0108 Instalación de elementos de carpintería
"Madera, Mueble y Corcho",MAM423_3,Organización y gestión de la producción en industrias de carpintería y mueble,3,MAMD0110,Organización y gestión de la producción en industrias del mueble y de carpintería ,MAMD0110 Organización y gestión de la producción en industrias del mueble y de carpintería 
"Madera, Mueble y Corcho",MAM425_3,Proyectos de instalación y amueblamiento,3,MAMB0110,Proyectos de instalación y amueblamiento,MAMB0110 Proyectos de instalación y amueblamiento
Marítimo-Pesquera,MAP006_2,Manipulación y conservación en pesca y acuicultura,2,MAPN0312,Manipulación y conservación en pesca y acuicultura,MAPN0312 Manipulación y conservación en pesca y acuicultura
Marítimo-Pesquera,MAP007_2,Producción de alimento vivo,2,MAPU0409,Producción de alimento vivo,MAPU0409 Producción de alimento vivo
Marítimo-Pesquera,MAP008_2,"Engorde de peces, crustáceos y cefalópodos",2,MAPU0108,"Engorde de peces, crustáceos y cefalópodos","MAPU0108 Engorde de peces, crustáceos y cefalópodos"
Marítimo-Pesquera,MAP100_2,Engorde de moluscos bivalvos,2,MAPU0109,Engorde de moluscos bivalvos,MAPU0109 Engorde de moluscos bivalvos
Marítimo-Pesquera,MAP101_2,Producción en criadero de acuicultura,2,MAPU0110,Producción en criadero de acuicultura,MAPU0110 Producción en criadero de acuicultura
Marítimo-Pesquera,MAP170_2,Operaciones en transporte marítimo y pesca de bajura,2,MAPN0410,Operaciones en transporte marítimo y pesca de bajura,MAPN0410 Operaciones en transporte marítimo y pesca de bajura
Marítimo-Pesquera,MAP171_2,Navegación en aguas interiores y próximas a la costa,2,MAPN0510,Navegación en aguas interiores y próximas a la costa,MAPN0510 Navegación en aguas interiores y próximas a la costa
Marítimo-Pesquera,MAP232_3,Gestión de la producción de criadero en acuicultura,3,MAPU0111,Gestión de la producción de criadero en acuicultura,MAPU0111 Gestión de la producción de criadero en acuicultura
Marítimo-Pesquera,MAP233_3,Gestión de la producción de engorde en acuicultura,3,MAPU0210,Gestión de la producción de engorde en acuicultura,MAPU0210 Gestión de la producción de engorde en acuicultura
Marítimo-Pesquera,MAP495_2,Mantenimiento de instalaciones en acuicultura,2,MAPU0112,Mantenimiento de instalaciones en acuicultura,MAPU0112 Mantenimiento de instalaciones en acuicultura
Marítimo-Pesquera,MAP573_2,Mantenimiento de los equipos de un parque de pesca y de la instalación frigorífica ,2,MAPN0612,Mantenimiento de los equipos de un parque de pesca y de la instalación frigorífica,MAPN0612 Mantenimiento de los equipos de un parque de pesca y de la instalación frigorífica
Química,QUI020_3,Ensayos Microbiológicos y Biotecnológicos,3,QUIA0208,Ensayos microbiológicos y biotecnológicos,QUIA0208 Ensayos microbiológicos y biotecnológicos
Química,QUI021_3,Ensayos Físicos y Fisicoquímicos,3,QUIA0108,Ensayos físicos y fisicoquímicos,QUIA0108 Ensayos físicos y fisicoquímicos
Química,QUI110_2,Operaciones en instalaciones de energía y de servicios auxiliares ,2,QUIE0208,Operaciones en instalaciones de energía y de servicios auxiliares,QUIE0208 Operaciones en instalaciones de energía y de servicios auxiliares
Química,QUI117_3,Análisis Químico,3,QUIL0108,Análisis químico,QUIL0108 Análisis químico
Química,QUI181_3,Organización y control de procesos de química básica,3,QUIB0108,Gestión y control de planta química,QUIB0108 Gestión y control de planta química
Química,QUI247_3,Organización y control de los procesos de química transformadora ,3,QUIE0109,Organización y control de los procesos de química transformadora,QUIE0109 Organización y control de los procesos de química transformadora
Química,QUI475_2,Operaciones de movimientos y entrega de productos en la industria química ,2,QUIE0408,Operaciones de movimientos y entrega de productos en la industria química,QUIE0408 Operaciones de movimientos y entrega de productos en la industria química
Química,QUI480_3,Organización y control de procesos y realización de servicios biotecnológicos ,3,QUIE0111,Organización y control de procesos y realización de servicios biotecnológicos,QUIE0111 Organización y control de procesos y realización de servicios biotecnológicos
Seguridad y Medio Ambiente,SEA026_2,Operación de estaciones de tratamiento de aguas,2,SEAG0210,Operación de estaciones de tratamiento de aguas,SEAG0210 Operación de estaciones de tratamiento de aguas
Seguridad y Medio Ambiente,SEA027_2,Gestión de residuos,2,SEAG0108,Gestión de residuos urbanos e industriales,SEAG0108 Gestión de residuos urbanos e industriales
Seguridad y Medio Ambiente,SEA028_2,Servicios de control de plagas/organismos nocivos,2,SEAG0110,Servicios para el control de plagas,SEAG0110 Servicios para el control de plagas
Seguridad y Medio Ambiente,SEA029_2,Vigilancia y seguridad privada ,2,"SEAD0112
SEAD0212","Vigilancia, seguridad privada y protección de personas
Vigilancia, seguridad privada y protección de explosivos","SEAD0112 Vigilancia, seguridad privada y protección de personas
SEAD0212 Vigilancia, seguridad privada y protección de explosivos"
Seguridad y Medio Ambiente,SEA030_3,Control y protección del medio natural,3,SEAG0309,Control y protección del medio natural,SEAG0309 Control y protección del medio natural
Seguridad y Medio Ambiente,SEA251_3,Gestión de servicios para el control de organismos nocivos,3,SEAG0311,Gestión de servicios para el control de organismos nocivos,SEAG0311 Gestión de servicios para el control de organismos nocivos
Seguridad y Medio Ambiente,SEA252_3,Sensibilización y educación ambiental,3,SEAG0109,Interpretación y educación ambiental,SEAG0109 Interpretación y educación ambiental
Seguridad y Medio Ambiente,SEA406_1,Limpieza en espacios abiertos e instalaciones industriales,1,SEAG0209,Limpieza en espacios abiertos e instalaciones industriales,SEAG0209 Limpieza en espacios abiertos e instalaciones industriales
Seguridad y Medio Ambiente,SEA492_2,Mantenimiento higiénico-sanitario de instalaciones susceptibles de proliferación de Legionella y otros organismos nocivos y su diseminación por aerosolización,2,SEAG0212,Mantenimiento higiénico-sanitario de instalaciones susceptibles de proliferación de microorganismos nocivos y su diseminación por aerosolización,SEAG0212 Mantenimiento higiénico-sanitario de instalaciones susceptibles de proliferación de microorganismos nocivos y su diseminación por aerosolización
Seguridad y Medio Ambiente,SEA493_3,Control de la contaminación atmosférica,3,SEAG0111,Control de la contaminación atmosférica,SEAG0111 Control de la contaminación atmosférica
Seguridad y Medio Ambiente,SEA531_2,Adiestramiento de base y educación canina,2,SEAD0412,Adiestramiento de base y educación canina,SEAD0412 Adiestramiento de base y educación canina
Seguridad y Medio Ambiente,SEA536_3,Gestión y coordinación en protección civil y emergencias,3,SEAD0311,Gestión y coordinación en protección civil y emergencias,SEAD0311 Gestión y coordinación en protección civil y emergencias
Seguridad y Medio Ambiente,SEA595_2,Operaciones de vigilancia y extinción de incendios forestalesy apoyo a contingencias en el medio natural y rural,2,SEAD0411,Operaciones de vigilancia y extinción de incendios forestales y apoyo a contingencias en el medio natural y rural,SEAD0411 Operaciones de vigilancia y extinción de incendios forestales y apoyo a contingencias en el medio natural y rural
Seguridad y Medio Ambiente,SEA596_3,Coordinación de operaciones en incendios forestales y apoyo a contingencias en el medio natural y rural,3,SEAD0511,Coordinación de operaciones en incendios forestales y apoyo a contingencias en el medio natural y rural,SEAD0511 Coordinación de operaciones en incendios forestales y apoyo a contingencias en el medio natural y rural
Seguridad y Medio Ambiente,SEA597_3,Gestión ambiental,3,SEAG0211,Gestión ambiental,SEAG0211 Gestión ambiental
Seguridad y Medio Ambiente,SEA647_3,"Teleoperaciones de atención, gestión y coordinación de emergencias",3,SEAD0312,"Teleoperaciones de atención, gestión y coordinación de emergencias","SEAD0312 Teleoperaciones de atención, gestión y coordinación de emergencias"
Servicios Socioculturales y a la Comunidad,SSC089_2,Atención sociosanitaria a personas en situación de dependencia y/o con discapacidad en el domicilio,2,SSCS0108,Atención sociosanitaria a personas en el domicilio,SSCS0108 Atención sociosanitaria a personas en el domicilio
Servicios Socioculturales y a la Comunidad,SSC319_1,Limpieza de superficies y mobiliario en edificios y local,1,SSCM0108,Limpieza de superficies y mobiliario en edificios y locales,SSCM0108 Limpieza de superficies y mobiliario en edificios y locales
Servicios Socioculturales y a la Comunidad,SSC320_2,Atención sociosanitaria a personas en situación de dependencia y/o con discapacidad en instituciones sociales,2,SSCS0208,Atención sociosanitaria a personas dependientes en instituciones sociales,SSCS0208 Atención sociosanitaria a personas dependientes en instituciones sociales
Servicios Socioculturales y a la Comunidad,SSC321_3,Dinamización comunitaria,3,SSCB0109,Dinamización comunitaria,SSCB0109 Dinamización comunitaria
Servicios Socioculturales y a la Comunidad,SSC323_3,Inserción laboral de personas con discapacidad,3,SSCG0109,Inserción laboral de personas con discapacidad,SSCG0109 Inserción laboral de personas con discapacidad
Servicios Socioculturales y a la Comunidad,SSC324_3,Mediación comunitaria,3,SSCG0209,Mediación comunitaria,SSCG0209 Mediación comunitaria
Servicios Socioculturales y a la Comunidad,SSC413_1,Empleo doméstico,1,SSCI0109,Empleo doméstico,SSCI0109 Empleo doméstico
Servicios Socioculturales y a la Comunidad,SSC443_2,Gestión de teleasistencia domiciliaria,2,SSCG0111,Gestión de llamadas de teleasistencia,SSCG0111 Gestión de llamadas de teleasistencia
Servicios Socioculturales y a la Comunidad,SSC444_3,Atención al alumnado con necesidades educativas especiales (ACNEE) en centros educativos,3,SSCE0112,Atención al alumnado con necesidades educativas especiales (ACNEE) en centros educativos,SSCE0112 Atención al alumnado con necesidades educativas especiales (ACNEE) en centros educativos
Servicios Socioculturales y a la Comunidad,SSC445_3,"Dinamización, gestión de programaciones y desarrollo de acciones culturales",3,SSCB0110,"Dinamización, programación y desarrollo de acciones culturales","SSCB0110 Dinamización, programación y desarrollo de acciones culturales"
Servicios Socioculturales y a la Comunidad,SSC447_3,Mediación entre la persona sordociega y la comunidad,3,SSCG0211,Mediación entre la persona sordociega y la comunidad,SSCG0211 Mediación entre la persona sordociega y la comunidad
Servicios Socioculturales y a la Comunidad,SSC448_3,Docencia de la formación para el empleo,3,SSCE0110,"Habilitación para la Docencia en grados A, B y C del Sistema de Formación Profesional","SSCE0110 Habilitación para la Docencia en grados A, B y C del Sistema de Formación Profesional"
Servicios Socioculturales y a la Comunidad,SSC449_3,"Promoción, desarrollo y participación de la comunidad sorda",3,SSCG0112,Promoción y participación de la comunidad sorda,SSCG0112 Promoción y participación de la comunidad sorda
Servicios Socioculturales y a la Comunidad,SSC450_3,Promoción e intervención socioeducativa con personas con discapacidad ,3,SSCE0111,Promoción e intervención socioeducativa con personas con discapacidad,SSCE0111 Promoción e intervención socioeducativa con personas con discapacidad
Servicios Socioculturales y a la Comunidad,SSC451_3,Promoción para la igualdad efectiva de mujeres y hombres,3,SSCE0212,Promoción para la igualdad efectiva de mujeres y hombres,SSCE0212 Promoción para la igualdad efectiva de mujeres y hombres
Servicios Socioculturales y a la Comunidad,SSC564_2,Dinamización de actividades de tiempo libre educativo infantil y juvenil ,2,SSCB0209,Dinamización de actividades de tiempo libre educativo infantil y juvenil,SSCB0209 Dinamización de actividades de tiempo libre educativo infantil y juvenil
Servicios Socioculturales y a la Comunidad,SSC565_3,Dirección y coordinación de proyectos de tiempo libre educativo infantil y juvenil,3,SSCB0211,Dirección y coordinación de actividades de tiempo libre educativo infantil y juvenil,SSCB0211 Dirección y coordinación de actividades de tiempo libre educativo infantil y juvenil
Servicios Socioculturales y a la Comunidad,SSC567_3,Información juvenil,3,SSCE0109,Información juvenil,SSCE0109 Información juvenil
Servicios Socioculturales y a la Comunidad,SSC611_3,Prestación de servicios bibliotecarios,3,SSCB0111,Prestación de servicios bibliotecarios,SSCB0111 Prestación de servicios bibliotecarios
"Textil, Confección y Piel",TCP136_1,Operaciones auxiliares de tapizado de mobiliario y mural,1,TCPF0209,Operaciones auxiliares de tapizado de mobiliario y mural,TCPF0209 Operaciones auxiliares de tapizado de mobiliario y mural
"Textil, Confección y Piel",TCP138_1,Operaciones auxiliares de lavandería industrial y de proximidad ,1,TCPN0312,Operaciones auxiliares de lavandería industrial y de proximidad,TCPN0312 Operaciones auxiliares de lavandería industrial y de proximidad
"Textil, Confección y Piel",TCP391_2,Confección de vestuario a medida en textil y piel,2,TCPF0212,Confección de vestuario a medida en textil y piel,TCPF0212 Confección de vestuario a medida en textil y piel
"Textil, Confección y Piel",TCP471_3,Realización de vestuario para el espectáculo,3,TCPF0912,Realización de vestuario para el espectáculo,TCPF0912 Realización de vestuario para el espectáculo
Transporte y Mantenimiento de Vehículos,TMV044_2,Pintura de vehículos,2,TMVL0509,Pintura de vehículos,TMVL0509 Pintura de vehículos
Transporte y Mantenimiento de Vehículos,TMV045_2,Mantenimiento de estructuras de carrocerías de vehículos,2,TMVL0309,Mantenimiento de estructuras de carrocerías de vehículos,TMVL0309 Mantenimiento de estructuras de carrocerías de vehículos
Transporte y Mantenimiento de Vehículos,TMV046_2,Mantenimiento de elementos no estructurales de carrocerías de vehículos ,2,TMVL0209,Mantenimiento de elementos no estructurales de carrocerías de vehículos,TMVL0209 Mantenimiento de elementos no estructurales de carrocerías de vehículos
Transporte y Mantenimiento de Vehículos,TMV047_2,Mantenimiento de sistemas de transmisión de fuerza y trenesde rodaje de vehículos automóviles ,2,TMVG0309,Mantenimiento de sistemas de transmisión de fuerza y trenes de rodaje de vehículos automóviles,TMVG0309 Mantenimiento de sistemas de transmisión de fuerza y trenes de rodaje de vehículos automóviles
Transporte y Mantenimiento de Vehículos,TMV048_2,Mantenimiento del motor y sus sistemas auxiliares,2,TMVG0409,Mantenimiento del motor y sus sistemas auxiliares,TMVG0409 Mantenimiento del motor y sus sistemas auxiliares
Transporte y Mantenimiento de Vehículos,TMV049_3,Planificación y control del área de carrocería,3,TMVL0609,Planificación y control del área de carrocería,TMVL0609 Planificación y control del área de carrocería
Transporte y Mantenimiento de Vehículos,TMV050_3,Planificación y control del área de electromecánica,3,TMVG0110,Planificación y control del área de electromecánica,TMVG0110 Planificación y control del área de electromecánica
Transporte y Mantenimiento de Vehículos,TMV194_1,Operaciones auxiliares de mantenimiento de carrocería de vehículos ,1,TMVL0109,Operaciones auxiliares de mantenimiento de carrocerías de vehículos,TMVL0109 Operaciones auxiliares de mantenimiento de carrocerías de vehículos
Transporte y Mantenimiento de Vehículos,TMV195_1,Operaciones auxiliares de mantenimiento en electromecánica de vehículos ,1,TMVG0109,Operaciones auxiliares de mantenimiento en electromecánica de vehículos ,TMVG0109 Operaciones auxiliares de mantenimiento en electromecánica de vehículos 
Transporte y Mantenimiento de Vehículos,TMV197_2,Mantenimiento de los sistemas eléctricos y electrónicos de vehículos ,2,TMVG0209,Mantenimiento de los sistemas eléctricos y electrónicos de vehículos,TMVG0209 Mantenimiento de los sistemas eléctricos y electrónicos de vehículos
Transporte y Mantenimiento de Vehículos,TMV198_2,Mantenimiento de los sistemas mecánicos de material rodante ferroviario,2,TMVB0111,Mantenimiento de los sistemas mecánicos de material rodante ferroviario,TMVB0111 Mantenimiento de los sistemas mecánicos de material rodante ferroviario
Transporte y Mantenimiento de Vehículos,TMV199_2,Mantenimiento de sistemas eléctricos y electrónicos de material rodante ferroviario,2,TMVB0211,Mantenimiento de sistemas eléctricos y electrónicos de material rodante ferroviario,TMVB0211 Mantenimiento de sistemas eléctricos y electrónicos de material rodante ferroviario
Transporte y Mantenimiento de Vehículos,TMV265_2,"Mantenimiento de sistemas de rodaje y transmisión de maquinaria agrícola, de industrias extractivas y de edificación y obra civil, sus equipos y aperos",2,TMVG0210,"Mantenimiento de sistemas de rodaje y transmisión de maquinaria agrícola, de industrias extractivas y de edificación y obra civil, sus equipos y aperos","TMVG0210 Mantenimiento de sistemas de rodaje y transmisión de maquinaria agrícola, de industrias extractivas y de edificación y obra civil, sus equipos y aperos"
Transporte y Mantenimiento de Vehículos,TMV266_2,"Mantenimiento del motor y de los sistemas eléctricos, de seguridad y confortabilidad de maquinaria agrícola, de industrias extractivas y de edificación y obra civil ",2,TMVG0310,"Mantenimiento del motor y de los sistemas eléctricos, de seguridad y confortabilidad de maquinaria agrícola, de industrias extractivas y de edificación y obra civil","TMVG0310 Mantenimiento del motor y de los sistemas eléctricos, de seguridad y confortabilidad de maquinaria agrícola, de industrias extractivas y de edificación y obra civil"
Transporte y Mantenimiento de Vehículos,TMV453_1,Operaciones auxiliares de mantenimiento de sistemas y equipos de embarcaciones deportivas y de recreo,1,TMVU0110,Operaciones auxiliares de mantenimiento de sistemas y equipos de embarcaciones deportivas y de recreo ,TMVU0110 Operaciones auxiliares de mantenimiento de sistemas y equipos de embarcaciones deportivas y de recreo 
Transporte y Mantenimiento de Vehículos,TMV454_2,Conducción de autobuses,2,TMVI0108,Conducción de autobuses,TMVI0108 Conducción de autobuses
Transporte y Mantenimiento de Vehículos,TMV456_2,Conducción profesional de vehículos turismos y furgonetas,2,TMVI0112,Conducción profesional de vehículos turismos y furgonetas,TMVI0112 Conducción profesional de vehículos turismos y furgonetas
Transporte y Mantenimiento de Vehículos,TMV554_2,Mantenimiento e instalación de sistemas eléctricos y electrónicos de embarcaciones deportivas y de recreo ,2,TMVU0212,Mantenimiento e instalación de sistemas eléctricos y electrónicos de embarcaciones deportivas y de recreo,TMVU0212 Mantenimiento e instalación de sistemas eléctricos y electrónicos de embarcaciones deportivas y de recreo
Transporte y Mantenimiento de Vehículos,TMV555_2,"Mantenimiento de la planta propulsora, máquinas y equipos auxiliares de embarcaciones deportivas y de recreo ",2,TMVU0112,"Mantenimiento de la planta propulsora, máquinas y equipos auxiliares de embarcaciones deportivas","TMVU0112 Mantenimiento de la planta propulsora, máquinas y equipos auxiliares de embarcaciones deportivas"
Transporte y Mantenimiento de Vehículos,TMV556_2,Operaciones de mantenimiento de elementos de madera de embarcaciones deportivas y de recreo ,2,TMVU0211,Operaciones de mantenimiento de elementos de madera de embarcaciones deportivas y de recreo,TMVU0211 Operaciones de mantenimiento de elementos de madera de embarcaciones deportivas y de recreo
Transporte y Mantenimiento de Vehículos,TMV557_2,"Pintura, reparación y construcción de elementos de plástico reforzado con fibra de embarcaciones deportivas y de recreo   ",2,TMVU0111,"Pintura, reparación y construcción de elementos de plástico reforzado con fibra de embarcaciones deportivas y de recreo","TMVU0111 Pintura, reparación y construcción de elementos de plástico reforzado con fibra de embarcaciones deportivas y de recreo"
Transporte y Mantenimiento de Vehículos,TMV605_3,Organización y supervisión del mantenimiento de los sistemas y equipos de embarcaciones deportivas y de recreo ,3,TMVU0312,Organización y supervisión del mantenimiento de los sistemas y equipos de embarcaciones deportivas y de recreo,TMVU0312 Organización y supervisión del mantenimiento de los sistemas y equipos de embarcaciones deportivas y de recreo
