Familia profesional,Código QP,Nombre cualificación,Nivel,Básico/Medio/Superior,Ciclo Formativo
Imagen Personal,IMP249_3,Peluquería técnico-artística,3,Ciclo Grado Superior,"Técnico Superior en Estilismo y Dirección de Peluquería
Técnico Superior en Asesoría de Imagen Personal y Corporativa
Técnico Superior en Caracterización y Maquillaje Profesional"
Imagen Personal,IMP250_3,Tratamientos estéticos,3,Ciclo Grado Superior,Técnico Superior en Estética Integral y Bienestar
Imagen Personal,IMP395_3,Asesoría integral de imagen personal,3,Ciclo Grado Superior,Técnico Superior en Asesoría de Imagen Personal y Corporativa
Imagen Personal,IMP396_3,Caracterización de personajes,3,Ciclo Grado Superior,Técnico Superior en Caracterización y Maquillaje Profesional
Imagen Personal,IMP397_3,Tratamientos capilares estéticos,3,Ciclo Grado Superior,"Técnico Superior en Estilismo y Dirección de Peluquería
Técnico Superior en Asesoría de Imagen Personal y Corporativa"
Imagen Personal,IMP799_3 ,Micropigmentación,3,Ciclo Grado Superior,Técnico Superior en Estética Integral y Bienestar
Imagen y Sonido,IMS434_2,Animación musical y visual en vivo y en directo,2,Ciclo Grado Medio,Técnico en Vídeo Disc-jockey y Sonido
Imagen y Sonido,IMS436_2,Operaciones de sonido,2,Ciclo Grado Medio,Técnico en Vídeo Disc-jockey y Sonido
Imagen y Sonido,IMS074_3,Asistencia a la producción en televisión,3,Ciclo Grado Superior,Técnico Superior en Producción de Audiovisuales y Espectáculos
Imagen y Sonido,IMS075_3,Luminotecnia para el espectáculo en vivo,3,Ciclo Grado Superior,"Técnico Superior en Iluminación, Captación y Tratamiento de Imagen"
Imagen y Sonido,IMS076_3,Animación 2D Y 3D,3,Ciclo Grado Superior,"Técnico Superior en Animaciones 3D, Juegos y Entornos Interactivos"
Imagen y Sonido,IMS077_3,Asistencia a la realización en televisión,3,Ciclo Grado Superior,Técnico Superior en Realización de Proyectos Audiovisuales y Espectáculos
Imagen y Sonido,IMS220_3,Asistencia a la dirección cinematográfica y de obras audiovisuales,3,Ciclo Grado Superior,Técnico Superior en Realización de Proyectos Audiovisuales y Espectáculos
Imagen y Sonido,IMS221_3,Asistencia a la producción cinematográfica y de obras audiovisuales,3,Ciclo Grado Superior,Técnico Superior en Producción de Audiovisuales y Espectáculos
Imagen y Sonido,IMS294_3,"Cámara de cine, vídeo y televisión",3,Ciclo Grado Superior,"Técnico Superior en Iluminación, Captación y Tratamiento de Imagen"
Imagen y Sonido,IMS295_3,Desarrollo de productos audiovisuales multimedia interactivos,3,Ciclo Grado Superior,"Técnico Superior en Animaciones 3D, Juegos y Entornos Interactivos"
Imagen y Sonido,IMS296_3,Montaje y postproducción de audiovisuales,3,Ciclo Grado Superior,"Técnico Superior en Animaciones 3D, Juegos y Entornos Interactivos
Técnico Superior en Realización de Proyectos Audiovisuales y Espectáculos"
Imagen y Sonido,IMS437_3,Asistencia a la producción de espectáculos en vivo y eventos,3,Ciclo Grado Superior,Técnico Superior en Producción de Audiovisuales y Espectáculos
Imagen y Sonido,IMS438_3,"Desarrollo de proyectos y control de sonido en audiovisuales, radio e industria discográfica",3,Ciclo Grado Superior,Técnico Superior en Sonido para Audiovisuales y Espectáculos
Imagen y Sonido,IMS439_3,Desarrollo de proyectos y control de sonido en vivo y en instalaciones fijas,3,Ciclo Grado Superior,Técnico Superior en Sonido para Audiovisuales y Espectáculos
Imagen y Sonido,IMS440_3,Producción en laboratorio de imagen,3,Ciclo Grado Superior,"Técnico Superior en Iluminación, Captación y Tratamiento de Imagen"
Imagen y Sonido,IMS441_3,Producción fotográfica,3,Ciclo Grado Superior,"Técnico Superior en Iluminación, Captación y Tratamiento de Imagen"
Imagen y Sonido,IMS442_3,Regiduría de espectáculos en vivo y eventos,3,Ciclo Grado Superior,Técnico Superior en Realización de Proyectos Audiovisuales y Espectáculos
Industrias Alimentarias,INA013_2,Obtención de aceites de oliva,2,Ciclo Grado Medio,Técnico en Aceites de Oliva y Vinos
Industrias Alimentarias,INA015_2,Panadería y bollería,2,Ciclo Grado Medio,"Técnico en Panadería, Repostería y Confitería"
Industrias Alimentarias,INA107_2,Pastelería y confitería,2,Ciclo Grado Medio,"Técnico en Panadería, Repostería y Confitería"
Industrias Alimentarias,INA174_2,Elaboración de vinos y licores,2,Ciclo Grado Medio,Técnico en Aceites de Oliva y Vinos
Industrias Alimentarias,INA016_3,Enotecnia,3,Ciclo Grado Superior,Técnico Superior en Vitivinicultura
Industrias Alimentarias,INA178_3,Industrias de productos de la pesca y de la acuicultura,3,Ciclo Grado Superior,"Técnico Superior en Acuicultura
Técnico Superior en Procesos y Calidad en la Industria Alimentaria"
Industrias Alimentarias,INA240_3,Industrias derivadas de la uva y del vino,3,Ciclo Grado Superior,Técnico Superior en Vitivinicultura
Informática y Comunicaciones,IFC361_1,Operaciones auxiliares de montaje y mantenimiento de sistemas microinformáticos,1,Ciclo Grado Básico,"Técnico Básico en Informática de Oficina
Técnico Básico en Informática y Comunicaciones"
Informática y Comunicaciones,IFC078_2,Sistemas microinformáticos,2,Ciclo Grado Medio,Técnico en Sistemas Microinformáticos y Redes
Informática y Comunicaciones,IFC298_2,Montaje y reparación de sistemas microinformáticos,2,Ciclo Grado Medio,Técnico en Sistemas Microinformáticos y Redes
Informática y Comunicaciones,IFC299_2,Operación de redes departamentales,2,Ciclo Grado Medio,Técnico en Sistemas Microinformáticos y Redes
Informática y Comunicaciones,IFC300_2,Operación de sistemas informáticos,2,Ciclo Grado Medio,Técnico en Sistemas Microinformáticos y Redes
Informática y Comunicaciones,IFC079_3,Administración de bases de datos,3,Ciclo Grado Superior,Técnico Superior en Administración de Sistemas Informáticos en Red
Informática y Comunicaciones,IFC080_3,Programación con lenguajes orientados a objetos y bases de datos relacionales,3,Ciclo Grado Superior,"Técnico Superior en Desarrollo de Aplicaciones Multiplataforma
Técnico Superior en Desarrollo de Aplicaciones Web"
Informática y Comunicaciones,IFC152_3,Gestión de sistemas informáticos,3,Ciclo Grado Superior,Técnico Superior en Administración de Sistemas Informáticos en Red
Informática y Comunicaciones,IFC154_3,Desarrollo de aplicaciones con tecnologías web,3,Ciclo Grado Superior,Técnico Superior en Desarrollo de Aplicaciones Web
Informática y Comunicaciones,IFC155_3,Programación en lenguajes estructurados de aplicaciones de gestión,3,Ciclo Grado Superior,"Técnico Superior en Desarrollo de Aplicaciones Multiplataforma
Técnico Superior en Desarrollo de Aplicaciones Web"
Informática y Comunicaciones,IFC156_3,Administración de servicios de Internet,3,Ciclo Grado Superior,Técnico Superior en Administración de Sistemas Informáticos en Red
Instalación y Mantenimiento,IMA367_1,Operaciones auxiliares de fontanería,1,Ciclo Grado Básico,"Técnico Básico en Fabricación y Montaje
Técnico Básico en Mantenimiento de Viviendas"
Instalación y Mantenimiento,IMA040_2,Montaje y mantenimiento de instalaciones frigoríficas,2,Ciclo Grado Medio,Técnico en Instalaciones Frigoríficas y de Climatización.
Instalación y Mantenimiento,IMA041_2,Mantenimiento y montaje mecánico de equipo industrial,2,Ciclo Grado Medio,Técnico en Mantenimiento Electromecánico
Instalación y Mantenimiento,IMA801_2,Montaje y mantenimiento de instalaciones térmicas en edificios,2,Ciclo Grado Medio,"Técnico en Instalaciones de Producción de Calor
Técnico en Instalaciones Frigoríficas y de Climatización"
Instalación y Mantenimiento,IMA374_3,"Planificación, gestión y realización del mantenimiento y supervisión del montaje de instalaciones caloríficas",3,Ciclo Grado Superior,Técnico Superior en Mantenimiento de Instalaciones Térmicas y de Fluidos
Instalación y Mantenimiento,IMA376_3,"Planificación, gestión y realización del mantenimiento y supervisión del montaje de instalaciones frigoríficas",3,Ciclo Grado Superior,Técnico Superior en Mantenimiento de Instalaciones Térmicas y de Fluidos
Instalación y Mantenimiento,IMA377_3,"Planificación, gestión y realización del mantenimiento y supervisión del montaje de maquinaria, equipo industrial y líneas automatizadas de producción",3,Ciclo Grado Superior,Técnico Superior en Mecatrónica Industrial
Instalación y Mantenimiento,IMA378_3,"Planificación, gestión y realización del mantenimiento y supervisión del montaje de redes y sistemas de distribución de fluidos",3,Ciclo Grado Superior,Técnico Superior en Mantenimiento de Instalaciones Térmicas y de Fluidos
Instalación y Mantenimiento,IMA790_3,Metodología de trabajo colaborativa para el modelado y gestión de información de proyectos de construcción (BIM),3,Curso de Especialización,Modelado de la información en la construcción (BIM)
Instalación y Mantenimiento,IMA825_3,Supervisión del montaje y mantenimiento de instalaciones térmicas,3,Ciclo Grado Superior,Técnico Superior en Mantenimiento de Instalaciones Térmicas y de Fluidos
"Madera, Mueble y Corcho",MAM275_1,Aplicación de barnices y lacas en elementos de carpintería y mueble,1,Ciclo Grado Básico,Técnico Básico en Carpintería y Mueble
"Madera, Mueble y Corcho",MAM276_1,Trabajos de carpintería y mueble,1,Ciclo Grado Básico,Técnico Básico en Carpintería y Mueble
"Madera, Mueble y Corcho",MAM058_2,Mecanizado de madera y derivados con equipos manuales y automatizados,2,Ciclo Grado Medio,"Técnico en Carpintería y Mueble
Técnico en Instalación y Amueblamiento
Técnico en Procesado y Tansformación de la Madera"
"Madera, Mueble y Corcho",MAM059_2,Instalación de muebles,2,Ciclo Grado Medio,Técnico en Instalación y Amueblamiento
"Madera, Mueble y Corcho",MAM060_2,Acabado de carpintería y mueble,2,Ciclo Grado Medio,"Técnico en Carpintería y Mueble
Técnico en Procesado y Transformación de la Madera"
"Madera, Mueble y Corcho",MAM062_2,Montaje de muebles y elementos de carpintería,2,Ciclo Grado Medio,"Técnico en Carpintería y Mueble
Técnico en Instalación y Amueblamiento"
"Madera, Mueble y Corcho",MAM277_2,Instalación de elementos de carpintería,2,Ciclo Grado Medio,Técnico en Instalación y Amueblamiento
"Madera, Mueble y Corcho",MAM063_3,Proyectos de carpintería y mueble,3,Ciclo Grado Superior,Técnico Superior en Diseño y Amueblamiento
"Madera, Mueble y Corcho",MAM425_3,Proyectos de instalación y amueblamiento,3,Ciclo Grado Superior,Técnico Superior en Diseño y Amueblamiento
Marítimo-Pesquera,MAP007_2,Producción de alimento vivo,2,Ciclo Grado Medio,Técnicos en Cultivos Acuícolas
Marítimo-Pesquera,MAP008_2,"Engorde de peces, crustáceos y cefalópodos",2,Ciclo Grado Medio,Técnicos en Cultivos Acuícolas
Marítimo-Pesquera,MAP009_2,"Operaciones con equipos de buceo, en instalaciones de suministro y cámaras hiperbáricas",2,Ciclo Grado Medio,Técnico en Operaciones Subacuáticas e Hiperbáricas
Marítimo-Pesquera,MAP010_2,"Operaciones subacuáticas de corte y soldadura, reparación en obra viva y reflotamiento",2,Ciclo Grado Medio,Técnico en Operaciones Subacuáticas e Hiperbáricas
Marítimo-Pesquera,MAP011_2,Operaciones subacuáticas de obra hidráulica y voladura,2,Ciclo Grado Medio,Técnico en Operaciones Subacuáticas e Hiperbáricas
Marítimo-Pesquera,MAP100_2,Engorde de moluscos bivalvos,2,Ciclo Grado Medio,Técnicos en Cultivos Acuícolas
Marítimo-Pesquera,MAP101_2,Producción en criadero de acuicultura,2,Ciclo Grado Medio,Técnicos en Cultivos Acuícolas
Marítimo-Pesquera,MAP171_2,Navegación en aguas interiores y próximas a la costa,2,Ciclo Grado Medio,"Técnico en Navegación y Pesca de Litoral
Técnico en Operaciones Subacuáticas e Hiperbáricas"
Marítimo-Pesquera,MAP231_2,Pesca local,2,Ciclo Grado Medio,Técnico en Navegación y Pesca de Litoral
Marítimo-Pesquera,MAP573_2,Mantenimiento de los equipos de un parque de pesca y de la instalación frigorífica,2,Ciclo Grado Medio,Técnico en Mantenimiento y Control de la Maquinaria de Buques y Embarcaciones
Marítimo-Pesquera,MAP591_2,Navegación y pesca marítima,2,Ciclo Grado Medio,Técnico en Navegación y Pesca de Litoral
Marítimo-Pesquera,MAP592_2,"Operaciones de control del funcionamiento y mantenimiento de la planta propulsora, máquinas y equipos auxiliares del buque",2,Ciclo Grado Medio,Técnico en Mantenimiento y Control de la Maquinaria de Buques y Embarcaciones
Marítimo-Pesquera,MAP232_3,Gestión de la producción de criadero en acuicultura,3,Ciclo Grado Superior,Técnico Superior en Acuicultura
Marítimo-Pesquera,MAP233_3,Gestión de la producción de engorde en acuicultura,3,Ciclo Grado Superior,Técnico Superior en Acuicultura
Marítimo-Pesquera,MAP234_3,"Navegación, transporte marítimo y actividades pesqueras",3,Ciclo Grado Superior,Técnico Superior en Transporte Marítimo y Pesca de Altura
Marítimo-Pesquera,MAP594_3,"Control del funcionamiento y supervisión del mantenimiento de la planta propulsora, máquinas y equipos auxiliares del buque",3,Ciclo Grado Superior,Técnico Superior en Organización del Mantenimiento y Control de Maquinaria de Buques y Embarcaciones
Química,QUI110_2,Operaciones en instalaciones de energía y de servicios auxiliares,2,Ciclo Grado Medio,"Técnico en Operaciones de Laboratorio
Técnico en Planta Química"
Química,QUI475_2,Operaciones de movimientos y entrega de productos en la industria química,2,Ciclo Grado Medio,Técnico en Operaciones de Laboratorio
Química,QUI020_3,Ensayos microbiológicos y biotecnológicos,3,Ciclo Grado Superior,"Técnico Superior en Laboratorio de Análisis y de Control de Calidad
Técnico Superior en Anatomía Patológica y Citodiagnóstico
Técnico Superior en Laboratorio Clínico y Biomédico"
Química,QUI021_3,Ensayos Físicos y Fisicoquímicos,3,Ciclo Grado Superior,Técnico Superior en Laboratorio de Análisis y de Control de Calidad
Química,QUI117_3,Análisis Químico,3,Ciclo Grado Superior,Técnico Superior en Laboratorio de Análisis y de Control de Calidad
Química,QUI181_3,Organización y control de procesos de química básica,3,Ciclo Grado Superior,Técnico Superior en Química Industrial
Química,QUI247_3,Organización y control de los procesos de química transformadora,3,Ciclo Grado Superior,Técnico Superior en Química Industrial
Química,QUI480_3,Organización y control de procesos y realización de servicios biotecnológicos.,3,Ciclo Grado Superior,"Técnico Superior en Fabricación de Productos Farmacéuticos, Biotecnológicos y Afines"
Química,QUI778_3,Control de la fabricación de productos farmacéuticos y afines,3,Ciclo Grado Superior,"Técnico Superior en Fabricación de Productos Farmacéuticos, Biotecnológicos y Afines"
Seguridad y Medio Ambiente,SEA026_2,Operación de estaciones de tratamiento de aguas,2,Ciclo Grado Medio,Técnico en Redes y Estaciones de Tratamiento de Aguas
Seguridad y Medio Ambiente,SEA029_2,Vigilancia y seguridad privada,2,Ciclo Grado Medio,Técnico en Seguridad
Seguridad y Medio Ambiente,SEA130_2,"Guarderío rural, cinegético y marítimo",2,Ciclo Grado Medio,Técnico en Seguridad
Seguridad y Medio Ambiente,SEA030_3,Control y protección del medio natural,3,Ciclo Grado Superior,"Técnico Superior en Educación y Control Ambiental
Técnico Superior en Gestión Forestal y del Medio Natural"
Seguridad y Medio Ambiente,SEA252_3,Interpretación y educación ambiental,3,Ciclo Grado Superior,Técnico Superior en Educación y Control Ambiental
Seguridad y Medio Ambiente,SEA536_3,Gestión y coordinación en protección civil y emergencias,3,Ciclo Grado Superior,Técnico Superior en Coordinación de Emergencias y Protección Civil
Seguridad y Medio Ambiente,SEA596_3,Coordinación de operaciones en incendios forestales y apoyo a contingencias en el medio natural y rural,3,Ciclo Grado Superior,Técnico Superior en Coordinación de Emergencias y Protección Civil
Seguridad y Medio Ambiente,SEA597_3,Gestión ambiental,3,Ciclo Grado Superior,Técnico Superior en Química y Salud Ambiental
Servicios Socioculturales y a la Comunidad,SSC319_1,Limpieza de superficies y mobiliario en edificios y locales,1,Ciclo Grado Básico,Técnico Básico en Actividades Domésticas y Limpieza de edificios
Servicios Socioculturales y a la Comunidad,SSC413_1,Empleo doméstico,1,Ciclo Grado Básico,Técnico Básico en Actividades Domésticas y Limpieza de edificios
Servicios Socioculturales y a la Comunidad,SSC089_2,Atención sociosanitaria a personas en situación de dependencia y/o con discapacidad en el domicilio,2,Ciclo Grado Medio,Técnico en Atención a Personas en Situación de Dependencia
Servicios Socioculturales y a la Comunidad,SSC320_2,Atención sociosanitaria a personas en situación de dependencia y/o con discapacidad en instituciones sociales,2,Ciclo Grado Medio,Técnico en Atención a Personas en Situación de Dependencia
Servicios Socioculturales y a la Comunidad,SSC443_2,Gestión de teleasistencia domiciliaria,2,Ciclo Grado Medio,Técnico en Atención a Personas en Situación de Dependencia
Servicios Socioculturales y a la Comunidad,SSC564_2 ,Dinamización de actividades de tiempo libre educativo infantil y juvenil,2,Ciclo Grado Medio,Técnico en Guía en el medio natural y de tiempo libre
Servicios Socioculturales y a la Comunidad,SSC090_3,Educación de habilidades de autonomía personal y social,3,Ciclo Grado Superior,"Técnico Superior en Integración Social
Técnico Superior en Mediación Comunicativa"
Servicios Socioculturales y a la Comunidad,SSC321_3,Dinamización comunitaria,3,Ciclo Grado Superior,"Técnico Superior en Animación Sociocultural y Turística
Técnico Superior en Promoción de Igualdad de Género
Técnico Superior en Integración Social
Técnico Superior en Mediación Comunicativa"
Servicios Socioculturales y a la Comunidad,SSC322_3,Educación infantil,3,Ciclo Grado Superior,Técnico Superior en Educación Infantil
Servicios Socioculturales y a la Comunidad,SSC323_3,Inserción laboral de personas con discapacidad,3,Ciclo Grado Superior,Técnico Superior en Integración Social
Servicios Socioculturales y a la Comunidad,SSC324_3,Mediación comunitaria,3,Ciclo Grado Superior,Técnico Superior en Integración Social
Servicios Socioculturales y a la Comunidad,SSC444_3,Atención al alumnado con necesidades educativas especiales (ACNEE) en centros educativos,3,Ciclo Grado Superior,Técnico Superior en Integración Social
Servicios Socioculturales y a la Comunidad,SSC445_3,"Dinamización, gestión de programaciones y desarrollo de acciones culturales",3,Ciclo Grado Superior,Técnico Superior en Animación Sociocultural y Turística
Servicios Socioculturales y a la Comunidad,SSC447_3,Mediación entre la persona sordociega y la comunidad,3,Ciclo Grado Superior,Técnico Superior en Mediación Comunicativa
Servicios Socioculturales y a la Comunidad,SSC449_3,"Promoción, desarrollo y participación de la comunidad sorda",3,Ciclo Grado Superior,Técnico Superior en Mediación Comunicativa
Servicios Socioculturales y a la Comunidad,SSC450_3,Promoción e intervención socioeducativa con personas con discapacidad,3,Ciclo Grado Superior,Técnico Superior en Integración Social
Servicios Socioculturales y a la Comunidad,SSC451_3,Promoción para la igualdad efectiva de mujeres y hombres,3,Ciclo Grado Superior,Técnico Superior en Promoción de Igualdad de Género
Servicios Socioculturales y a la Comunidad,SSC565_3,Dirección y coordinación de proyectos de tiempo libre educativo infantil y juvenil,3,Ciclo Grado Superior,"Técnico Superior en Enseñanza y Animación Sociodeportiva
Técnico Superior en Animación Sociocultural y Turística
Técnico Superior en Termalismo y Bienestar"
Servicios Socioculturales y a la Comunidad,SSC566_3,Docencia de formación vial,3,Ciclo Grado Superior,Técnico Superior en Formación para la movilidad segura y sostenible
Servicios Socioculturales y a la Comunidad,SSC567_3,Información juvenil,3,Ciclo Grado Superior,Técnico Superior en Animación Sociocultural y Turística
"Textil, Confección y Piel",TCP136_1,Operaciones auxiliares de tapizado de mobiliario y mural,1,Ciclo Grado Básico,"Técnico Básico en Tapicería y Cortinaje
Técnico en Carpintería y Mueble"
"Textil, Confección y Piel",TCP138_1,Operaciones auxiliares de lavandería industrial y de proximidad,1,Ciclo Grado Básico,Técnico Básico en Alojamiento y Lavandería
"Textil, Confección y Piel",TCP693_1 ,Operaciones básicas de confección.,1,Ciclo Grado Básico,"Técnico Básico en Tapicería y Cortinaje
Técnico Básico en Arreglo y Reparación de Artículos Textiles y de Piel"
"Textil, Confección y Piel",TCP391_2,Confección de vestuario a medida en textil y piel,2,Ciclo Grado Medio,Técnico en Confección y Moda
"Textil, Confección y Piel",TCP694_2   ,Corte para confección.,2,Ciclo Grado Medio,Técnico en Confección y Moda
"Textil, Confección y Piel",TCP149_3,"Gestión de producción y calidad en confección, calzado y marroquinería",3,Ciclo Grado Superior,"Técnico Superior en Patronaje y Moda
Técnico Superior en Diseño de Producción de Calzado y Complementos"
"Textil, Confección y Piel",TCP150_3,"Diseño técnico de productos de confección, calzado y marroquinería",3,Ciclo Grado Superior,"Técnico Superior en Patronaje y Moda
Técnico Superior en Diseño Técnico en Textil y Piel
Técnico Superior en Diseño y Producción de Calzado y Complementos
Técnico Superior en Vestuario a Medida y de Espectáculos"
"Textil, Confección y Piel",TCP470_3,Realización de vestuario a medida en textil y piel,3,Ciclo Grado Superior,Técnico Superior en Vestuario a Medida y de Espectáculos
"Textil, Confección y Piel",TCP471_3,Realización de vestuario para el espectáculo,3,Ciclo Grado Superior,"Técnico Superior en Caracterización y Maquillaje Profesional
Técnico Superior en Vestuario a Medida y de Espectáculos"
"Textil, Confección y Piel",TCP697_3 ,Patronaje para confección.,3,Ciclo Grado Superior,Técnico Superior en Patronaje y moda
Transporte y Mantenimiento de Vehículos,TMV194_1,Operaciones auxiliares de mantenimiento de carrocería de vehículos,1,Ciclo Grado Básico,Técnico Básico en Mantenimiento de Vehículos
Transporte y Mantenimiento de Vehículos,TMV195_1,Operaciones auxiliares de mantenimiento en electromecánica de vehículos,1,Ciclo Grado Básico,Técnico Básico en Mantenimiento de Vehículos
Transporte y Mantenimiento de Vehículos,TMV452_1,Actividades auxiliares de mantenimiento de elementos estructuralesy de recubrimiento de superficies de embarcaciones deportivas y de recreo,1,Ciclo Grado Básico,Técnico básico en Mantenimiento de Embarcaciones Deportivas y de Recreo 
Transporte y Mantenimiento de Vehículos,TMV453_1,Operaciones auxiliares de mantenimiento de sistemas y equipos de embarcaciones deportivas y de recreo,1,Ciclo Grado Básico,Técnico básico en Mantenimiento de Embarcaciones Deportivas y de Recreo 
Transporte y Mantenimiento de Vehículos,TMV044_2,Pintura de vehículos,2,Ciclo Grado Medio,"Técnico en Carrocería
Técnico en Montaje de Estructuras e Instalación de Sistemas Aeronáuticos"
Transporte y Mantenimiento de Vehículos,TMV045_2,Mantenimiento de estructuras de carrocerías de vehículos,2,Ciclo Grado Medio,Técnico en Carrocería
Transporte y Mantenimiento de Vehículos,TMV046_2,Mantenimiento de elementos no estructurales de carrocerías de vehículos,2,Ciclo Grado Medio,Técnico en Carrocería
Transporte y Mantenimiento de Vehículos,TMV047_2,Mantenimiento de sistemas de transmisión de fuerza y trenes de rodaje de vehículos automóviles,2,Ciclo Grado Medio,Técnico en Electromecánica de Vehículos Automóviles
Transporte y Mantenimiento de Vehículos,TMV048_2,Mantenimiento del motor y sus sistemas auxiliares,2,Ciclo Grado Medio,Técnico en Electromecánica de Vehículos Automóviles
Transporte y Mantenimiento de Vehículos,TMV197_2,Mantenimiento de los sistemas eléctricos y electrónicos de vehículos,2,Ciclo Grado Medio,Técnico en Electromecánica de Vehículos Automóviles
Transporte y Mantenimiento de Vehículos,TMV198_2,Mantenimiento de los sistemas mecánicos de material rodante ferroviario,2,Ciclo Grado Medio,Técnico en Mantenimiento de Material Rodante Ferroviario 
Transporte y Mantenimiento de Vehículos,TMV199_2,Mantenimiento de sistemas eléctricos y electrónicos de material rodante ferroviario,2,Ciclo Grado Medio,Técnico en Mantenimiento de Material Rodante Ferroviario 
Transporte y Mantenimiento de Vehículos,TMV265_2,"Mantenimiento de sistemas de rodaje y transmisión de maquinaria agrícola, de industrias extractivas y de edificación y obra civil, sus equipos y aperos",2,Ciclo Grado Medio,Técnico en Electromecánica de Maquinaria
Transporte y Mantenimiento de Vehículos,TMV266_2,"Mantenimiento del motor y de los sistemas eléctricos, de seguridad y confortabilidad de maquinaria agrícola, de industrias extractivas y de edificación y obra civil",2,Ciclo Grado Medio,"Técnico en Electromecánica de Maquinaria
Técnico en Mantenimiento de Material Rodante Ferroviario "
Transporte y Mantenimiento de Vehículos,TMV554_2,Mantenimiento e instalación de sistemas eléctricos y electrónicos de embarcaciones deportivas y de recreo,2,Ciclo Grado Medio,"Técnico en Mantenimiento y Control de la Maquinaria de Buques y Embarcaciones
Técnico en Mantenimiento de Embarcaciones de Recreo"
Transporte y Mantenimiento de Vehículos,TMV555_2,"Mantenimiento de la planta propulsora, máquinas y equipos auxiliares de embarcaciones deportivas y de recreo",2,Ciclo Grado Medio,"Técnico en Mantenimiento y Control de la Maquinaria de Buques y Embarcaciones
Técnico en Mantenimiento de Embarcaciones de Recreo"
Transporte y Mantenimiento de Vehículos,TMV049_3,Planificación y control del área de carrocería,3,Ciclo Grado Superior,Técnico Superior en Automoción
Transporte y Mantenimiento de Vehículos,TMV050_3,Planificación y control del área de electromecánica,3,Ciclo Grado Superior,Técnico Superior en Automoción
Transporte y Mantenimiento de Vehículos,TMV605_3,Organización y supervisión del mantenimiento de los sistemas y equipos de embarcaciones deportivas y de recreo,3,Ciclo Grado Superior,Técnico Superior en Organización del Mantenimiento y Control de Maquinaria de Buques y Embarcaciones
