Familia profesional,Código QP,Cualificación profesional,Código y cualificación,Nivel
Imagen y Sonido,IMS435_2,Operaciones de producción de laboratorio de imagen,IMS435_2 Operaciones de producción de laboratorio de imagen,2
Imagen y Sonido,IMS436_2,Operaciones de sonido,IMS436_2 Operaciones de sonido,2
Imagen y Sonido,IMS074_3,Asistencia a la producción en televisión,IMS074_3 Asistencia a la producción en televisión,3
Imagen y Sonido,IMS075_3,Luminotecnia para el espectáculo en vivo,IMS075_3 Luminotecnia para el espectáculo en vivo,3
Imagen y Sonido,IMS076_3,Animación 2D Y 3D,IMS076_3 Animación 2D Y 3D,3
Imagen y Sonido,IMS077_3,Asistencia a la realización en televisión,IMS077_3 Asistencia a la realización en televisión,3
Imagen y Sonido,IMS220_3,Asistencia a la dirección cinematográfica y de obras audiovisuales,IMS220_3 Asistencia a la dirección cinematográfica y de obras audiovisuales,3
Imagen y Sonido,IMS221_3,Asistencia a la producción cinematográfica y de obras audiovisuales,IMS221_3 Asistencia a la producción cinematográfica y de obras audiovisuales,3
Imagen y Sonido,IMS294_3,"Cámara de cine, vídeo y televisión","IMS294_3 Cámara de cine, vídeo y televisión",3
Imagen y Sonido,IMS295_3,Desarrollo de productos audiovisuales multimedia interactivos,IMS295_3 Desarrollo de productos audiovisuales multimedia interactivos,3
Imagen y Sonido,IMS296_3,Montaje y postproducción de audiovisuales,IMS296_3 Montaje y postproducción de audiovisuales,3
Imagen y Sonido,IMS437_3,Asistencia a la producción de espectáculos en vivo y eventos,IMS437_3 Asistencia a la producción de espectáculos en vivo y eventos,3
Imagen y Sonido,IMS438_3,"Desarrollo de proyectos y control de sonido en audiovisuales, radio e industria discográfica","IMS438_3 Desarrollo de proyectos y control de sonido en audiovisuales, radio e industria discográfica",3
Imagen y Sonido,IMS439_3,Desarrollo de proyectos y control de sonido en vivo y en instalaciones fijas,IMS439_3 Desarrollo de proyectos y control de sonido en vivo y en instalaciones fijas,3
Imagen y Sonido,IMS440_3,Producción en laboratorio de imagen,IMS440_3 Producción en laboratorio de imagen,3
Imagen y Sonido,IMS441_3,Producción fotográfica,IMS441_3 Producción fotográfica,3
Imagen y Sonido,IMS442_3,Regiduría de espectáculos en vivo y eventos,IMS442_3 Regiduría de espectáculos en vivo y eventos,3
Industrias Alimentarias,INA173_1,Operaciones auxiliares de mantenimiento y transporte interno en la industria alimentaria,INA173_1 Operaciones auxiliares de mantenimiento y transporte interno en la industria alimentaria,1
Industrias Alimentarias,INA012_2,Quesería,INA012_2 Quesería,2
Industrias Alimentarias,INA013_2,Obtención de aceites de oliva,INA013_2 Obtención de aceites de oliva,2
Industrias Alimentarias,INA015_2,Panadería y bollería,INA015_2 Panadería y bollería,2
Industrias Alimentarias,INA107_2,Pastelería y confitería,INA107_2 Pastelería y confitería,2
Industrias Alimentarias,INA174_2,Elaboración de vinos y licores,INA174_2 Elaboración de vinos y licores,2
Industrias Alimentarias,INA016_3,Enotecnia,INA016_3 Enotecnia,3
Industrias Alimentarias,INA178_3,Industrias de productos de la pesca y de la acuicultura,INA178_3 Industrias de productos de la pesca y de la acuicultura,3
Industrias Alimentarias,INA240_3,Industrias derivadas de la uva y del vino,INA240_3 Industrias derivadas de la uva y del vino,3
Industrias Extractivas,IEX427_2,Colocación de piedra natural,IEX427_2 Colocación de piedra natural,2
Informática y Comunicaciones,IFC361_1,Operaciones auxiliares de montaje y mantenimiento de sistemas microinformáticos,IFC361_1 Operaciones auxiliares de montaje y mantenimiento de sistemas microinformáticos,1
Informática y Comunicaciones,IFC078_2,Sistemas microinformáticos,IFC078_2 Sistemas microinformáticos,2
Informática y Comunicaciones,IFC297_2,Confección y publicación de páginas web,IFC297_2 Confección y publicación de páginas web,2
Informática y Comunicaciones,IFC298_2,Montaje y reparación de sistemas microinformáticos,IFC298_2 Montaje y reparación de sistemas microinformáticos,2
Informática y Comunicaciones,IFC299_2,Operación de redes departamentales,IFC299_2 Operación de redes departamentales,2
Informática y Comunicaciones,IFC300_2,Operación de sistemas informáticos,IFC300_2 Operación de sistemas informáticos,2
Informática y Comunicaciones,IFC079_3,Administración de bases de datos,IFC079_3 Administración de bases de datos,3
Informática y Comunicaciones,IFC080_3,Programación con lenguajes orientados a objetos y bases de datos relacionales,IFC080_3 Programación con lenguajes orientados a objetos y bases de datos relacionales,3
Informática y Comunicaciones,IFC152_3,Gestión de sistemas informáticos,IFC152_3 Gestión de sistemas informáticos,3
Informática y Comunicaciones,IFC153_3,Seguridad informática,IFC153_3 Seguridad informática,3
Informática y Comunicaciones,IFC154_3,Desarrollo de aplicaciones con tecnologías web,IFC154_3 Desarrollo de aplicaciones con tecnologías web,3
Informática y Comunicaciones,IFC155_3,Programación en lenguajes estructurados de aplicaciones de gestión,IFC155_3 Programación en lenguajes estructurados de aplicaciones de gestión,3
Informática y Comunicaciones,IFC156_3,Administración de servicios de Internet,IFC156_3 Administración de servicios de Internet,3
Informática y Comunicaciones,IFC301_2,Operación en sistemas de comunicaciones de voz y datos,IFC301_2 Operación en sistemas de comunicaciones de voz y datos,3
Informática y Comunicaciones,IFC303_3,Programación de sistemas informáticos,IFC303_3 Programación de sistemas informáticos,3
Informática y Comunicaciones,IFC363_3,Administración y programación en sistemas de planificación de recursos empresariales y de gestión de relaciones con clientes,IFC363_3 Administración y programación en sistemas de planificación de recursos empresariales y de gestión de relaciones con clientes,3
Instalación y Mantenimiento,IMA367_1,Operaciones auxiliares de fontanería,IMA367_1 Operaciones auxiliares de fontanería,1
Instalación y Mantenimiento,IMA040_2,Montaje y mantenimiento de instalaciones frigoríficas,IMA040_2 Montaje y mantenimiento de instalaciones frigoríficas,2
Instalación y Mantenimiento,IMA041_2,Mantenimiento y montaje mecánico de equipo industrial,IMA041_2 Mantenimiento y montaje mecánico de equipo industrial,2
Instalación y Mantenimiento,IMA568_2,Instalación y mantenimiento de ascensores y otros equipos fijos de elevación y transporte,IMA568_2 Instalación y mantenimiento de ascensores y otros equipos fijos de elevación y transporte,2
Instalación y Mantenimiento,IMA801_2,Montaje y mantenimiento de instalaciones térmicas en edificios,IMA801_2 Montaje y mantenimiento de instalaciones térmicas en edificios,2
Instalación y Mantenimiento,IMA372_3,Desarrollo de proyectos de instalaciones frigoríficas,IMA372_3 Desarrollo de proyectos de instalaciones frigoríficas,3
Instalación y Mantenimiento,IMA376_3,"Planificación, gestión y realización del mantenimiento y supervisión del montaje de instalaciones frigoríficas","IMA376_3 Planificación, gestión y realización del mantenimiento y supervisión del montaje de instalaciones frigoríficas",3
Instalación y Mantenimiento,IMA377_3,"Planificación, gestión y realización del mantenimiento y supervisión del montaje de maquinaria, equipo industrial y líneas automatizadas de producción","IMA377_3 Planificación, gestión y realización del mantenimiento y supervisión del montaje de maquinaria, equipo industrial y líneas automatizadas de producción",3
Instalación y Mantenimiento,IMA378_3,"Planificación, gestión y realización del mantenimiento y supervisión del montaje de redes y sistemas de distribución de fluidos","IMA378_3 Planificación, gestión y realización del mantenimiento y supervisión del montaje de redes y sistemas de distribución de fluidos",3
Instalación y Mantenimiento,IMA790_3,Metodología de trabajo colaborativa para el modelado y gestión de información de proyectos de construcción (BIM),IMA790_3 Metodología de trabajo colaborativa para el modelado y gestión de información de proyectos de construcción (BIM),3
Instalación y Mantenimiento,IMA824_3,Desarrollo de proyectos de instalaciones térmicas,IMA824_3 Desarrollo de proyectos de instalaciones térmicas,3
Instalación y Mantenimiento,IMA825_3,Supervisión del montaje y mantenimiento de instalaciones térmicas,IMA825_3 Supervisión del montaje y mantenimiento de instalaciones térmicas,3
"Madera, Mueble y Corcho",MAM275_1,Aplicación de barnices y lacas en elementos de carpintería y mueble,MAM275_1 Aplicación de barnices y lacas en elementos de carpintería y mueble,1
"Madera, Mueble y Corcho",MAM276_1,Trabajos de carpintería y mueble,MAM276_1 Trabajos de carpintería y mueble,1
"Madera, Mueble y Corcho",MAM058_2,Mecanizado de madera y derivados con equipos manuales y automatizados,MAM058_2 Mecanizado de madera y derivados con equipos manuales y automatizados,2
"Madera, Mueble y Corcho",MAM059_2,Instalación de muebles,MAM059_2 Instalación de muebles,2
"Madera, Mueble y Corcho",MAM060_2,Acabado de carpintería y mueble,MAM060_2 Acabado de carpintería y mueble,2
"Madera, Mueble y Corcho",MAM062_2,Montaje de muebles y elementos de carpintería,MAM062_2 Montaje de muebles y elementos de carpintería,2
"Madera, Mueble y Corcho",MAM277_2,Instalación de elementos de carpintería,MAM277_2 Instalación de elementos de carpintería,2
"Madera, Mueble y Corcho",MAM063_3,Proyectos de carpintería y mueble,MAM063_3 Proyectos de carpintería y mueble,3
"Madera, Mueble y Corcho",MAM423_3,Organización y gestión de la producción en industrias de carpintería y mueble,MAM423_3 Organización y gestión de la producción en industrias de carpintería y mueble,3
"Madera, Mueble y Corcho",MAM425_3,Proyectos de instalación y amueblamiento,MAM425_3 Proyectos de instalación y amueblamiento,3
Marítimo-Pesquera,MAP006_2,Manipulación y conservación en pesca y acuicultura,MAP006_2 Manipulación y conservación en pesca y acuicultura,2
Marítimo-Pesquera,MAP007_2,Producción de alimento vivo,MAP007_2 Producción de alimento vivo,2
Marítimo-Pesquera,MAP008_2,"Engorde de peces, crustáceos y cefalópodos","MAP008_2 Engorde de peces, crustáceos y cefalópodos",2
Marítimo-Pesquera,MAP009_2,"Operaciones con equipos de buceo, en instalaciones de suministro y cámaras hiperbáricas","MAP009_2 Operaciones con equipos de buceo, en instalaciones de suministro y cámaras hiperbáricas",2
Marítimo-Pesquera,MAP010_2,"Operaciones subacuáticas de corte y soldadura, reparación en obra viva y reflotamiento","MAP010_2 Operaciones subacuáticas de corte y soldadura, reparación en obra viva y reflotamiento",2
Marítimo-Pesquera,MAP011_2,Operaciones subacuáticas de obra hidráulica y voladura,MAP011_2 Operaciones subacuáticas de obra hidráulica y voladura,2
Marítimo-Pesquera,MAP100_2,Engorde de moluscos bivalvos,MAP100_2 Engorde de moluscos bivalvos,2
Marítimo-Pesquera,MAP101_2,Producción en criadero de acuicultura,MAP101_2 Producción en criadero de acuicultura,2
Marítimo-Pesquera,MAP170_2,Operaciones en transporte marítimo y pesca de bajura,MAP170_2 Operaciones en transporte marítimo y pesca de bajura,2
Marítimo-Pesquera,MAP171_2,Navegación en aguas interiores y próximas a la costa,MAP171_2 Navegación en aguas interiores y próximas a la costa,2
Marítimo-Pesquera,MAP231_2,Pesca local,MAP231_2 Pesca local,2
Marítimo-Pesquera,MAP495_2,Mantenimiento de instalaciones en acuicultura,MAP495_2 Mantenimiento de instalaciones en acuicultura,2
Marítimo-Pesquera,MAP573_2,Mantenimiento de los equipos de un parque de pesca y de la instalación frigorífica,MAP573_2 Mantenimiento de los equipos de un parque de pesca y de la instalación frigorífica,2
Marítimo-Pesquera,MAP591_2,Navegación y pesca marítima,MAP591_2 Navegación y pesca marítima,2
Marítimo-Pesquera,MAP592_2,"Operaciones de control del funcionamiento y mantenimiento de la planta propulsora, máquinas y equipos auxiliares del buque","MAP592_2 Operaciones de control del funcionamiento y mantenimiento de la planta propulsora, máquinas y equipos auxiliares del buque",2
Marítimo-Pesquera,MAP232_3,Gestión de la producción de criadero en acuicultura,MAP232_3 Gestión de la producción de criadero en acuicultura,3
Marítimo-Pesquera,MAP233_3,Gestión de la producción de engorde en acuicultura,MAP233_3 Gestión de la producción de engorde en acuicultura,3
Marítimo-Pesquera,MAP234_3,"Navegación, transporte marítimo y actividades pesqueras","MAP234_3 Navegación, transporte marítimo y actividades pesqueras",3
Marítimo-Pesquera,MAP594_3,"Control del funcionamiento y supervisión del mantenimiento de la planta propulsora, máquinas y equipos auxiliares del buque","MAP594_3 Control del funcionamiento y supervisión del mantenimiento de la planta propulsora, máquinas y equipos auxiliares del buque",3
Química,QUI110_2,Operaciones en instalaciones de energía y de servicios auxiliares,QUI110_2 Operaciones en instalaciones de energía y de servicios auxiliares,2
Química,QUI475_2,Operaciones de movimientos y entrega de productos en la industria química,QUI475_2 Operaciones de movimientos y entrega de productos en la industria química,2
Química,QUI020_3,Ensayos Microbiológicos y Biotecnológicos,QUI020_3 Ensayos Microbiológicos y Biotecnológicos,3
Química,QUI021_3,Ensayos Físicos y Fisicoquímicos,QUI021_3 Ensayos Físicos y Fisicoquímicos,3
Química,QUI117_3,Análisis Químico,QUI117_3 Análisis Químico,3
Química,QUI181_3,Organización y control de procesos de química básica,QUI181_3 Organización y control de procesos de química básica,3
Química,QUI247_3,Organización y control de los procesos de química transformadora,QUI247_3 Organización y control de los procesos de química transformadora,3
Química,QUI480_3,Organización y control de procesos y realización de servicios biotecnológicos.,QUI480_3 Organización y control de procesos y realización de servicios biotecnológicos.,3
Química,QUI778_3,Control de la fabricación de productos farmacéuticos y afines,QUI778_3 Control de la fabricación de productos farmacéuticos y afines,3
Seguridad y Medio Ambiente,SEA406_1,Limpieza en espacios abiertos e instalaciones industriales,SEA406_1 Limpieza en espacios abiertos e instalaciones industriales,1
Seguridad y Medio Ambiente,SEA702_1,"Acopio, clasificación y almacenamiento inicial de residuos","SEA702_1 Acopio, clasificación y almacenamiento inicial de residuos",1
Seguridad y Medio Ambiente,SEA026_2,Operación de estaciones de tratamiento de aguas,SEA026_2 Operación de estaciones de tratamiento de aguas,2
Seguridad y Medio Ambiente,SEA027_2,Gestión de residuos,SEA027_2 Gestión de residuos,2
Seguridad y Medio Ambiente,SEA028_2,Servicios de control de plagas/organismos nocivos,SEA028_2 Servicios de control de plagas/organismos nocivos,2
Seguridad y Medio Ambiente,SEA029_2,Vigilancia y seguridad privada,SEA029_2 Vigilancia y seguridad privada,2
Seguridad y Medio Ambiente,SEA130_2,"Guarderío rural, cinegético y marítimo","SEA130_2 Guarderío rural, cinegético y marítimo",2
Seguridad y Medio Ambiente,SEA492_2,Mantenimiento higiénico-sanitario de instalaciones susceptibles de proliferación de Legionella y otros organismos nocivos y su diseminación por aerosolización,SEA492_2 Mantenimiento higiénico-sanitario de instalaciones susceptibles de proliferación de Legionella y otros organismos nocivos y su diseminación por aerosolización,2
Seguridad y Medio Ambiente,SEA531_2,Adiestramiento de base y educación canina,SEA531_2 Adiestramiento de base y educación canina,2
Seguridad y Medio Ambiente,SEA595_2,Operaciones de vigilancia y extinción de incendios forestales y apoyo a contingencias en el medio natural y rural,SEA595_2 Operaciones de vigilancia y extinción de incendios forestales y apoyo a contingencias en el medio natural y rural,2
Seguridad y Medio Ambiente,SEA676_2,"Prevención, extinción de incendios y salvamento","SEA676_2 Prevención, extinción de incendios y salvamento",2
Seguridad y Medio Ambiente,SEA757_2,Mantenimiento de piscinas y otras instalaciones acuáticas,SEA757_2 Mantenimiento de piscinas y otras instalaciones acuáticas,2
Seguridad y Medio Ambiente,SEA030_3,Control y protección del medio natural,SEA030_3 Control y protección del medio natural,3
Seguridad y Medio Ambiente,SEA251_3,Gestión de servicios para el control de organismos nocivos,SEA251_3 Gestión de servicios para el control de organismos nocivos,3
Seguridad y Medio Ambiente,SEA252_3,Sensibilización y educación ambiental,SEA252_3 Sensibilización y educación ambiental,3
Seguridad y Medio Ambiente,SEA493_3,Control de la contaminación atmosférica,SEA493_3 Control de la contaminación atmosférica,3
Seguridad y Medio Ambiente,SEA536_3,Gestión y coordinación en protección civil y emergencias,SEA536_3 Gestión y coordinación en protección civil y emergencias,3
Seguridad y Medio Ambiente,SEA596_3,Coordinación de operaciones en incendios forestales y apoyo a contingencias en el medio natural y rural,SEA596_3 Coordinación de operaciones en incendios forestales y apoyo a contingencias en el medio natural y rural,3
Seguridad y Medio Ambiente,SEA597_3,Gestión ambiental,SEA597_3 Gestión ambiental,3
Seguridad y Medio Ambiente,SEA647_3,"Teleoperaciones de atención, gestión y coordinación de emergencias","SEA647_3 Teleoperaciones de atención, gestión y coordinación de emergencias",3
Servicios Socioculturales y a la Comunidad,SSC319_1,Limpieza de superficies y mobiliario en edificios y local,SSC319_1 Limpieza de superficies y mobiliario en edificios y local,1
Servicios Socioculturales y a la Comunidad,SSC413_1,Empleo doméstico,SSC413_1 Empleo doméstico,1
Servicios Socioculturales y a la Comunidad,SSC089_2,Atención sociosanitaria a personas en situación de dependencia y/o con discapacidad en el domicilio,SSC089_2 Atención sociosanitaria a personas en situación de dependencia y/o con discapacidad en el domicilio,2
Servicios Socioculturales y a la Comunidad,SSC320_2,Atención sociosanitaria a personas en situación de dependencia y/o con discapacidad en instituciones sociales,SSC320_2 Atención sociosanitaria a personas en situación de dependencia y/o con discapacidad en instituciones sociales,2
Servicios Socioculturales y a la Comunidad,SSC443_2,Gestión de teleasistencia domiciliaria,SSC443_2 Gestión de teleasistencia domiciliaria,2
Servicios Socioculturales y a la Comunidad,SSC564_2,Dinamización de actividades de tiempo libre educativo infantil y juvenil,SSC564_2 Dinamización de actividades de tiempo libre educativo infantil y juvenil,2
Servicios Socioculturales y a la Comunidad,SSC090_3,Educación de habilidades de autonomía personal y social,SSC090_3 Educación de habilidades de autonomía personal y social,3
Servicios Socioculturales y a la Comunidad,SSC321_3,Dinamización comunitaria,SSC321_3 Dinamización comunitaria,3
Servicios Socioculturales y a la Comunidad,SSC322_3,Educación infantil,SSC322_3 Educación infantil,3
Servicios Socioculturales y a la Comunidad,SSC323_3,Inserción laboral de personas con discapacidad,SSC323_3 Inserción laboral de personas con discapacidad,3
Servicios Socioculturales y a la Comunidad,SSC324_3,Mediación comunitaria,SSC324_3 Mediación comunitaria,3
Servicios Socioculturales y a la Comunidad,SSC444_3,Atención al alumnado con necesidades educativas especiales (ACNEE) en centros educativos,SSC444_3 Atención al alumnado con necesidades educativas especiales (ACNEE) en centros educativos,3
Servicios Socioculturales y a la Comunidad,SSC445_3,"Dinamización, gestión de programaciones y desarrollo de acciones culturales","SSC445_3 Dinamización, gestión de programaciones y desarrollo de acciones culturales",3
Servicios Socioculturales y a la Comunidad,SSC447_3,Mediación entre la persona sordociega y la comunidad,SSC447_3 Mediación entre la persona sordociega y la comunidad,3
Servicios Socioculturales y a la Comunidad,SSC448_3,Docencia de la formación para el empleo,SSC448_3 Docencia de la formación para el empleo,3
Servicios Socioculturales y a la Comunidad,SSC449_3,"Promoción, desarrollo y participación de la comunidad sorda","SSC449_3 Promoción, desarrollo y participación de la comunidad sorda",3
Servicios Socioculturales y a la Comunidad,SSC450_3,Promoción e intervención socioeducativa con personas con discapacidad,SSC450_3 Promoción e intervención socioeducativa con personas con discapacidad,3
Servicios Socioculturales y a la Comunidad,SSC451_3,Promoción para la igualdad efectiva de mujeres y hombres,SSC451_3 Promoción para la igualdad efectiva de mujeres y hombres,3
Servicios Socioculturales y a la Comunidad,SSC565_3,Dirección y coordinación de proyectos de tiempo libre educativo infantil y juvenil,SSC565_3 Dirección y coordinación de proyectos de tiempo libre educativo infantil y juvenil,3
Servicios Socioculturales y a la Comunidad,SSC566_3,Docencia de formación vial,SSC566_3 Docencia de formación vial,3
Servicios Socioculturales y a la Comunidad,SSC567_3,Información juvenil,SSC567_3 Información juvenil,3
Servicios Socioculturales y a la Comunidad,SSC611_3,Prestación de servicios bibliotecarios,SSC611_3 Prestación de servicios bibliotecarios,3
"Textil, Confección y Piel",TCP136_1,Operaciones auxiliares de tapizado de mobiliario y mural,TCP136_1 Operaciones auxiliares de tapizado de mobiliario y mural,1
"Textil, Confección y Piel",TCP138_1,Operaciones auxiliares de lavandería industrial y de proximidad,TCP138_1 Operaciones auxiliares de lavandería industrial y de proximidad,1
"Textil, Confección y Piel",TCP693_1,Operaciones básicas de confección.,TCP693_1 Operaciones básicas de confección.,1
"Textil, Confección y Piel",TCP391_2,Confección de vestuario a medida en textil y piel,TCP391_2 Confección de vestuario a medida en textil y piel,2
"Textil, Confección y Piel",TCP694_2,Corte para confección.,TCP694_2 Corte para confección.,2
"Textil, Confección y Piel",TCP695_2,Corte para calzado y marroquinería,TCP695_2 Corte para calzado y marroquinería,2
"Textil, Confección y Piel",TCP149_3,"Gestión de producción y calidad en confección, calzado y marroquinería.","TCP149_3 Gestión de producción y calidad en confección, calzado y marroquinería.",3
"Textil, Confección y Piel",TCP150_3,"Diseño técnico de productos de confección, calzado y marroquinería.","TCP150_3 Diseño técnico de productos de confección, calzado y marroquinería.",3
"Textil, Confección y Piel",TCP470_3,Realización de vestuario a medida en textil y piel,TCP470_3 Realización de vestuario a medida en textil y piel,3
"Textil, Confección y Piel",TCP471_3,Realización de vestuario para el espectáculo,TCP471_3 Realización de vestuario para el espectáculo,3
"Textil, Confección y Piel",TCP697_3,Patronaje para confección.,TCP697_3 Patronaje para confección.,3
Transporte y Mantenimiento de Vehículos,TMV194_1,Operaciones auxiliares de mantenimiento de carrocería de vehículos,TMV194_1 Operaciones auxiliares de mantenimiento de carrocería de vehículos,1
Transporte y Mantenimiento de Vehículos,TMV195_1,Operaciones auxiliares de mantenimiento en electromecánica de vehículos,TMV195_1 Operaciones auxiliares de mantenimiento en electromecánica de vehículos,1
Transporte y Mantenimiento de Vehículos,TMV452_1,Actividades auxiliares de mantenimiento de elementos estructuralesy de recubrimiento de superficies de embarcaciones deportivas y de recreo,TMV452_1 Actividades auxiliares de mantenimiento de elementos estructuralesy de recubrimiento de superficies de embarcaciones deportivas y de recreo,1
Transporte y Mantenimiento de Vehículos,TMV453_1,Operaciones auxiliares de mantenimiento de sistemas y equipos de embarcaciones deportivas y de recreo,TMV453_1 Operaciones auxiliares de mantenimiento de sistemas y equipos de embarcaciones deportivas y de recreo,1
Transporte y Mantenimiento de Vehículos,TMV044_2,Pintura de vehículos,TMV044_2 Pintura de vehículos,2
Transporte y Mantenimiento de Vehículos,TMV045_2,Mantenimiento de estructuras de carrocerías de vehículos,TMV045_2 Mantenimiento de estructuras de carrocerías de vehículos,2
Transporte y Mantenimiento de Vehículos,TMV046_2,Mantenimiento de elementos no estructurales de carrocerías de vehículos,TMV046_2 Mantenimiento de elementos no estructurales de carrocerías de vehículos,2
Transporte y Mantenimiento de Vehículos,TMV047_2,Mantenimiento de sistemas de transmisión de fuerza y trenes de rodaje de vehículos automóviles,TMV047_2 Mantenimiento de sistemas de transmisión de fuerza y trenes de rodaje de vehículos automóviles,2
Transporte y Mantenimiento de Vehículos,TMV048_2,Mantenimiento del motor y sus sistemas auxiliares,TMV048_2 Mantenimiento del motor y sus sistemas auxiliares,2
Transporte y Mantenimiento de Vehículos,TMV197_2,Mantenimiento de los sistemas eléctricos y electrónicos de vehículos,TMV197_2 Mantenimiento de los sistemas eléctricos y electrónicos de vehículos,2
Transporte y Mantenimiento de Vehículos,TMV198_2,Mantenimiento de los sistemas mecánicos de material rodante ferroviario,TMV198_2 Mantenimiento de los sistemas mecánicos de material rodante ferroviario,2
Transporte y Mantenimiento de Vehículos,TMV199_2,Mantenimiento de sistemas eléctricos y electrónicos de material rodante ferroviario,TMV199_2 Mantenimiento de sistemas eléctricos y electrónicos de material rodante ferroviario,2
Transporte y Mantenimiento de Vehículos,TMV265_2,"Mantenimiento de sistemas de rodaje y transmisión de maquinaria agrícola, de industrias extractivas y de edificación y obra civil, sus equipos y aperos","TMV265_2 Mantenimiento de sistemas de rodaje y transmisión de maquinaria agrícola, de industrias extractivas y de edificación y obra civil, sus equipos y aperos",2
Transporte y Mantenimiento de Vehículos,TMV266_2,"Mantenimiento del motor y de los sistemas eléctricos, de seguridad y confortabilidad de maquinaria agrícola, de industrias extractivas y de edificación y obra civil","TMV266_2 Mantenimiento del motor y de los sistemas eléctricos, de seguridad y confortabilidad de maquinaria agrícola, de industrias extractivas y de edificación y obra civil",2
Transporte y Mantenimiento de Vehículos,TMV454_2,Conducción de autobuses,TMV454_2 Conducción de autobuses,2
Transporte y Mantenimiento de Vehículos,TMV456_2,Conducción profesional de vehículos turismos y furgonetas,TMV456_2 Conducción profesional de vehículos turismos y furgonetas,2
Transporte y Mantenimiento de Vehículos,TMV554_2,Mantenimiento e instalación de sistemas eléctricos y electrónicos de embarcaciones deportivas y de recreo,TMV554_2 Mantenimiento e instalación de sistemas eléctricos y electrónicos de embarcaciones deportivas y de recreo,2
Transporte y Mantenimiento de Vehículos,TMV555_2,"Mantenimiento de la planta propulsora, máquinas y equipos auxiliares de embarcaciones deportivas y de recreo","TMV555_2 Mantenimiento de la planta propulsora, máquinas y equipos auxiliares de embarcaciones deportivas y de recreo",2
Transporte y Mantenimiento de Vehículos,TMV556_2,Operaciones de mantenimiento de elementos de madera de embarcaciones deportivas y de recreo,TMV556_2 Operaciones de mantenimiento de elementos de madera de embarcaciones deportivas y de recreo,2
Transporte y Mantenimiento de Vehículos,TMV557_2,"Pintura, reparación y construcción de elementos de plástico reforzado con fibra de embarcaciones deportivas y de recreo","TMV557_2 Pintura, reparación y construcción de elementos de plástico reforzado con fibra de embarcaciones deportivas y de recreo",2
Transporte y Mantenimiento de Vehículos,TMV049_3,Planificación y control del área de carrocería,TMV049_3 Planificación y control del área de carrocería,3
Transporte y Mantenimiento de Vehículos,TMV050_3,Planificación y control del área de electromecánica,TMV050_3 Planificación y control del área de electromecánica,3
Transporte y Mantenimiento de Vehículos,TMV605_3,Organización y supervisión del mantenimiento de los sistemas y equipos de embarcaciones deportivas y de recreo,TMV605_3 Organización y supervisión del mantenimiento de los sistemas y equipos de embarcaciones deportivas y de recreo,3
